type,x,y
path,-13.0,20.0
path,-15.0,38.0
path,-6.0,50.0
path,-10.0,73.0
path,-16.0,90.0
path,-5.0,14.0
path,-18.0,89.0
path,-34.0,195.0
path,-3.0,22.0
path,-11.0,46.0
path,-17.0,54.0
path,-6.0,8.0
path,-12.0,49.0
path,-13.0,91.0
path,-2.0,93.0
path,-18.0,160.0
path,-38.0,160.0
path,-17.0,0.0
path,-20.0,37.0
path,-4.0,42.0
path,12.0,4.0
path,-6.0,167.0
path,-22.0,198.0
path,-9.0,17.0
path,-71.0,23.0
path,-81.0,7.0
path,-4.0,-6.0
path,-17.0,-12.0
path,-30.0,-13.0
path,-51.0,-3.0
path,-86.0,-17.0
path,-91.0,-35.0
path,-6.0,-21.0
path,-37.0,-25.0
path,-55.0,-7.0
path,-9.0,9.0
path,-12.0,9.0
path,-12.0,0.0
path,0.0,-7.0
path,-11.0,-12.0
path,-24.0,-12.0
path,-14.0,0.0
path,-27.0,-4.0
path,-30.0,-9.0
path,-8.0,-13.0
path,-89.0,-51.0
path,-108.0,-51.0
path,-9.0,0.0
path,-18.0,-9.0
path,-21.0,-20.0
path,-3.0,-14.0
path,-14.0,-20.0
path,-31.0,-20.0
path,-14.0,0.0
path,-26.0,-4.0
path,-26.0,-8.0
path,0.0,-11.0
path,-50.0,-48.0
path,-78.0,-56.0
path,-12.0,-4.0
path,-22.0,-4.0
path,-22.0,1.0
path,0.0,13.0
path,97.0,83.0
path,115.0,83.0
path,8.0,0.0
path,21.0,11.0
path,27.0,25.0
path,6.0,14.0
path,17.0,24.0
path,24.0,21.0
path,14.0,-5.0
path,89.0,28.0
path,99.0,44.0
path,3.0,5.0
path,17.0,10.0
path,31.0,10.0
path,13.0,0.0
path,24.0,4.0
path,24.0,9.0
path,0.0,17.0
path,33.0,21.0
path,50.0,6.0
path,16.0,-15.0
path,18.0,-14.0
path,22.0,18.0
path,3.0,30.0
path,1.0,33.0
path,-19.0,29.0
path,-12.0,-2.0
path,-28.0,-10.0
path,-34.0,-18.0
path,-6.0,-8.0
path,-22.0,-14.0
path,-36.0,-14.0
path,-13.0,0.0
path,-26.0,-7.0
path,-29.0,-15.0
path,-4.0,-8.0
path,-18.0,-15.0
path,-34.0,-15.0
path,-19.0,0.0
path,-29.0,-6.0
path,-33.0,-20.0
path,-3.0,-12.0
path,-14.0,-20.0
path,-26.0,-20.0
path,-12.0,0.0
path,-30.0,-5.0
path,-41.0,-10.0
path,-11.0,-6.0
path,-29.0,-14.0
path,-40.0,-20.0
path,-26.0,-13.0
path,-30.0,-13.0
path,-30.0,4.0
path,0.0,8.0
path,10.0,18.0
path,23.0,22.0
path,12.0,3.0
path,30.0,13.0
path,39.0,21.0
path,10.0,9.0
path,26.0,13.0
path,38.0,10.0
path,15.0,-4.0
path,20.0,0.0
path,20.0,14.0
path,0.0,14.0
path,7.0,19.0
path,29.0,19.0
path,16.0,0.0
path,31.0,6.0
path,35.0,15.0
path,3.0,8.0
path,15.0,15.0
path,26.0,15.0
path,11.0,0.0
path,31.0,7.0
path,43.0,14.0
path,12.0,8.0
path,42.0,18.0
path,66.0,22.0
path,42.0,7.0
path,44.0,6.0
path,39.0,-14.0
path,-7.0,-26.0
path,9.0,-40.0
path,19.0,-17.0
path,4.0,12.0
path,13.0,15.0
path,34.0,11.0
path,19.0,-4.0
path,29.0,-1.0
path,33.0,11.0
path,5.0,11.0
path,14.0,14.0
path,36.0,10.0
path,16.0,-4.0
path,32.0,-2.0
path,35.0,3.0
path,11.0,17.0
path,25.0,11.0
path,35.0,-16.0
path,13.0,-33.0
path,25.0,-24.0
path,24.0,18.0
path,-1.0,36.0
path,-23.0,41.0
path,-55.0,12.0
path,-8.0,-8.0
path,-19.0,-14.0
path,-22.0,-14.0
path,-13.0,0.0
path,-7.0,28.0
path,9.0,41.0
path,10.0,8.0
path,14.0,22.0
path,10.0,38.0
path,-20.0,98.0
path,-30.0,138.0
path,-40.0,150.0
path,-10.0,13.0
path,-34.0,12.0
path,-149.0,-6.0
path,-36.0,-5.0
path,-39.0,-4.0
path,-35.0,18.0
path,3.0,22.0
path,10.0,25.0
path,88.0,37.0
path,46.0,7.0
path,86.0,14.0
path,87.0,16.0
path,5.0,4.0
path,-74.0,353.0
path,-86.0,381.0
path,-13.0,33.0
path,-39.0,118.0
path,-46.0,155.0
path,-4.0,19.0
path,-11.0,40.0
path,-15.0,45.0
path,-4.0,6.0
path,-11.0,26.0
path,-15.0,45.0
path,-4.0,19.0
path,-15.0,53.0
path,-25.0,75.0
path,-10.0,22.0
path,-23.0,56.0
path,-30.0,75.0
path,-20.0,54.0
path,-42.0,104.0
path,-54.0,119.0
path,-11.0,14.0
path,-30.0,63.0
path,-48.0,121.0
path,-13.0,44.0
path,-44.0,84.0
path,-71.0,90.0
path,-35.0,9.0
path,-31.0,28.0
path,6.0,28.0
path,26.0,0.0
path,38.0,-6.0
path,45.0,-21.0
path,7.0,-14.0
path,11.0,-17.0
path,11.0,-7.0
path,1.0,8.0
path,-8.0,29.0
path,-19.0,45.0
path,-11.0,17.0
path,-20.0,24.0
path,-20.0,18.0
path,0.0,-22.0
path,-16.0,-14.0
path,-31.0,15.0
path,-7.0,15.0
path,-28.0,50.0
path,-45.0,78.0
path,-17.0,28.0
path,-35.0,61.0
path,-39.0,75.0
path,-4.0,13.0
path,-18.0,40.0
path,-30.0,59.0
path,-11.0,19.0
path,-29.0,55.0
path,-39.0,80.0
path,-9.0,25.0
path,-25.0,61.0
path,-36.0,80.0
path,-10.0,19.0
path,-24.0,45.0
path,-31.0,58.0
path,-14.0,26.0
path,-3.0,44.0
path,14.0,22.0
path,7.0,-9.0
path,19.0,-14.0
path,27.0,-13.0
path,10.0,2.0
path,29.0,-25.0
path,57.0,-84.0
path,24.0,-49.0
path,43.0,-92.0
path,43.0,-96.0
path,0.0,-5.0
path,8.0,-21.0
path,19.0,-35.0
path,10.0,-15.0
path,41.0,-70.0
path,68.0,-123.0
path,27.0,-52.0
path,57.0,-106.0
path,66.0,-120.0
path,9.0,-13.0
path,17.0,-29.0
path,17.0,-36.0
path,0.0,-11.0
path,56.0,-139.0
path,81.0,-185.0
path,5.0,-10.0
path,9.0,-23.0
path,9.0,-30.0
path,0.0,-7.0
path,11.0,-35.0
path,25.0,-62.0
path,14.0,-27.0
path,25.0,-55.0
path,25.0,-63.0
path,0.0,-7.0
path,5.0,-13.0
path,10.0,-13.0
path,6.0,0.0
path,10.0,-9.0
path,10.0,-19.0
path,0.0,-11.0
path,9.0,-41.0
path,21.0,-68.0
path,11.0,-26.0
path,30.0,-77.0
path,40.0,-113.0
path,11.0,-36.0
path,24.0,-74.0
path,29.0,-85.0
path,4.0,-11.0
path,18.0,-69.0
path,30.0,-130.0
path,12.0,-60.0
path,26.0,-117.0
path,30.0,-126.0
path,4.0,-9.0
path,16.0,-56.0
path,25.0,-105.0
path,10.0,-49.0
path,24.0,-102.0
path,31.0,-119.0
path,7.0,-16.0
path,18.0,-66.0
path,24.0,-110.0
path,7.0,-44.0
path,17.0,-85.0
path,22.0,-92.0
path,5.0,-7.0
path,8.0,-18.0
path,6.0,-25.0
path,-3.0,-7.0
path,5.0,-21.0
path,16.0,-31.0
path,15.0,-13.0
path,17.0,-20.0
path,9.0,-23.0
path,-24.0,-10.0
path,-14.0,-26.0
path,12.0,-20.0
path,18.0,5.0
path,25.0,2.0
path,25.0,-9.0
path,0.0,-8.0
path,-9.0,-15.0
path,-19.0,-15.0
path,-23.0,0.0
path,-34.0,-25.0
path,-21.0,-50.0
path,5.0,-10.0
path,7.0,-25.0
path,4.0,-33.0
path,-3.0,-8.0
path,-1.0,-18.0
path,5.0,-22.0
path,13.0,-8.0
path,14.0,-42.0
path,2.0,-47.0
path,-5.0,-2.0
path,-13.0,-15.0
path,-16.0,-30.0
path,-7.0,-26.0
path,-5.0,-28.0
path,24.0,-28.0
path,34.0,0.0
path,48.0,-19.0
path,35.0,-48.0
path,-11.0,-25.0
path,-12.0,-75.0
path,-1.0,-89.0
path,5.0,-7.0
path,6.0,-21.0
path,2.0,-33.0
path,-4.0,-12.0
path,-2.0,-20.0
path,5.0,-20.0
path,6.0,0.0
path,10.0,-12.0
path,8.0,-28.0
path,-2.0,-15.0
path,3.0,-32.0
path,12.0,-39.0
path,12.0,-10.0
path,13.0,-15.0
path,2.0,-32.0
path,-7.0,-13.0
path,-8.0,-21.0
path,-2.0,-21.0
path,5.0,0.0
path,10.0,-13.0
path,10.0,-30.0
path,0.0,-20.0
