type,x,y
path,13975.0,3175.0
path,13924.0,2970.0
path,13904.0,2882.0
path,13851.0,2661.0
path,13777.0,2366.0
path,13756.0,2292.0
path,13712.0,2128.0
path,13662.0,1928.0
path,13643.0,1820.0
path,13450.0,1190.0
path,13131.0,236.0
path,13086.0,121.0
path,13005.0,-93.0
path,12924.0,-313.0
path,12924.0,-320.0
path,12915.0,-350.0
path,12895.0,-401.0
path,12884.0,-423.0
path,12857.0,-485.0
path,12822.0,-574.0
path,12814.0,-601.0
path,12795.0,-655.0
path,12772.0,-715.0
path,12761.0,-729.0
path,12719.0,-834.0
path,12677.0,-957.0
path,12677.0,-968.0
path,12847.0,-981.0
path,13803.0,-994.0
path,14436.0,-994.0
path,15389.0,-991.0
path,16338.0,-981.0
path,16335.0,-976.0
path,16337.0,-952.0
path,16349.0,-912.0
path,16366.0,-882.0
path,16383.0,-851.0
path,16376.0,-776.0
path,16350.0,-728.0
path,16329.0,-657.0
path,16337.0,-618.0
path,16365.0,-647.0
path,16410.0,-753.0
path,16437.0,-870.0
path,16429.0,-874.0
path,16414.0,-891.0
path,16399.0,-918.0
path,16399.0,-938.0
path,16413.0,-958.0
path,17323.0,-978.0
path,18233.0,-978.0
path,19143.0,-978.0
path,20057.0,-955.0
path,20060.0,-943.0
path,20074.0,-883.0
path,20099.0,-776.0
path,20109.0,-729.0
path,20131.0,-628.0
path,20157.0,-508.0
path,20180.0,-386.0
path,20262.0,-16.0
path,20528.0,1104.0
path,20609.0,1432.0
path,20762.0,1973.0
path,21002.0,2680.0
path,21040.0,2753.0
path,21109.0,2890.0
path,21178.0,3032.0
path,21178.0,3037.0
path,21166.0,3049.0
path,21139.0,3064.0
path,21108.0,3071.0
path,21052.0,3089.0
path,20894.0,3158.0
path,20856.0,3178.0
path,20768.0,3217.0
path,20658.0,3260.0
path,20612.0,3268.0
path,20463.0,3313.0
path,20258.0,3387.0
path,20230.0,3402.0
path,20190.0,3418.0
path,20147.0,3425.0
path,20144.0,3418.0
path,20122.0,3424.0
path,20074.0,3458.0
path,20050.0,3483.0
path,19997.0,3535.0
path,19933.0,3595.0
path,19922.0,3603.0
path,19889.0,3632.0
path,19839.0,3679.0
path,19814.0,3707.0
path,19787.0,3741.0
path,19772.0,3783.0
path,19782.0,3790.0
path,19778.0,3800.0
path,19733.0,3810.0
path,19700.0,3810.0
path,19613.0,3815.0
path,19493.0,3825.0
path,19460.0,3830.0
